domain	end	gene	start
PF01734	949	Rv3239c	790
PF07690	340	Rv3239c	29
PF07690_1	509	Rv3239c	283
PF01043	339	secA1	230
PF07516	834	secA1	613
PF07517	383	secA1	2
PF02482	117	Rv3241c	21
PF16321	215	Rv3241c	159
PF11209	242	Rv3243c	27
PF10646	294	lpqB	172
PF10647	586	lpqB	327
PF00512	362	mtrB	295
PF00672	284	mtrB	232
PF02518	519	mtrB	408
PF00072	117	mtrA	8
PF00486	225	mtrA	149
PF02223	199	tmk	5
PF00670	415	sahH	253
PF05221	494	sahH	20
PF00440	74	Rv3249c	28
PF18556	200	Rv3249c	96
PF00301	52	rubB	6
PF00301	50	rubA	3
PF00487	373	alkB	137
PF13520	472	Rv3253c	28
PF01238	370	manA	1
PF00408	455	pmmA	378
PF02878	139	pmmA	9
PF02879	259	pmmA	159
PF02880	373	pmmA	264
PF12005	160	Rv3258c	21
PF06262	137	Rv3259	39
PF02467	84	whiB2	21
PF01933	319	fbiA	3
PF00881	428	fbiB	258
PF01996	219	fbiB	69
PF01996_1	70	fbiB	17
PF00132	349	manB	304
PF00132_1	287	manB	254
PF00483	239	manB	7
PF13641	254	wbbL1	4
PF04321	291	rmlD	6
PF03816	265	Rv3267	95
PF13399	449	Rv3267	363
PF07371	88	Rv3269	1
PF00122	386	ctpC	209
PF00702	622	ctpC	402
PF01545	216	Rv3271c	36
PF02515	387	Rv3272	10
PF00484	739	Rv3273	579
PF00916	400	Rv3273	31
PF00441	388	fadE25	238
PF02770	226	fadE25	131
PF02771	127	fadE25	16
PF00731	156	purE	9
PF02222	297	purK	124
PF17769	385	purK	324
PF04138	206	Rv3277	76
PF03703	157	Rv3278c	82
PF02237	265	birA	218
PF03099	159	birA	34
PF01039	546	accD5	50
PF13822	165	accE5	112
PF02545	202	Rv3282	3
PF00581	280	sseA	161
PF00581_1	132	sseA	22
PF02657	138	Rv3284	15
PF00289	120	accA3	11
PF00364	599	accA3	532
PF02785	456	accA3	345
PF02786	334	accA3	125
PF04539	195	sigF	122
PF04542	113	sigF	43
PF04545	258	sigF	209
PF00202	445	lat	28
PF01037	141	lrpA	71
PF13412	52	lrpA	5
PF07063	371	Rv3292	11
PF00171	477	pcd	15
PF13635	215	Rv3294c	40
PF00440	63	Rv3295	17
PF00270	217	lhr	28
PF00271	401	lhr	325
PF08494	851	lhr	659
PF01149	125	nei	1
PF06831	199	nei	123
PF10503	204	lpqC	42
PF00884	635	atsB	212
PF06897	167	atsB	66
PF00849	237	Rv3300c	93
PF01895	104	phoY1	16
PF01895_1	204	phoY1	121
PF01266	392	glpD2	37
PF16901	538	glpD2	413
PF00070	263	lpdA	184
PF02852	461	lpdA	352
PF04820	67	lpdA	4
PF13772	145	Rv3304	59
PF01546	385	amiA1	75
PF01546	371	amiB1	79
PF07687	265	amiB1	162
PF01048	266	deoD	29
PF00408	508	pmmB	458
PF02878	174	pmmB	34
PF02879	295	pmmB	191
PF02880	427	pmmB	303
PF14681	206	upp	5
PF04185	282	sapM	69
PF12697	297	Rv3312c	19
PF00962	351	add	12
PF00591	304	deoA	81
PF02885	71	deoA	9
PF07831	412	deoA	338
PF00383	107	cdd	7
PF01127	129	sdhC	14
PF01127	138	sdhD	14
PF00890	401	sdhA	8
PF02910	590	sdhA	455
PF13085	140	sdhB	25
PF13183	246	sdhB	172
PF01850	132	vapC44	3
PF13649	140	Rv3322c	51
PF02391	201	moaX	89
PF02597	82	moaX	6
PF01967	153	moaC3	19
PF01527	90	Rv3325	4
PF00665	206	Rv3326	102
PF13276	79	Rv3326	20
PF01548	158	Rv3327	4
PF02371	307	Rv3327	220
PF04542	70	sigJ	6
PF08281	156	sigJ	103
PF12680	282	sigJ	175
PF00202	456	Rv3329	31
PF00768	313	dacB1	83
PF00083	485	sugI	54
PF01979	381	nagA	48
PF05305	118	Rv3333c	36
PF00376	39	Rv3334	2
PF09278	108	Rv3334	44
PF03631	289	Rv3335c	31
PF00579	290	trpS	3
PF12697	199	Rv3338	2
PF00180	399	icd1	8
PF01053	434	metC	19
PF00561	357	metA	52
PF08241	133	Rv3342	43
PF00823	162	PPE54	5
PF01469	415	PPE54	376
PF01469_1	1600	PPE54	1561
PF01469_2	2176	PPE54	2137
PF01469_3	840	PPE54	801
PF01469_4	293	PPE54	254
PF01469_5	1478	PPE54	1439
PF01469_6	2054	PPE54	2015
PF01469_7	375	PPE54	336
PF01469_8	1560	PPE54	1521
PF01469_9	2136	PPE54	2097
PF01469_10	830	PPE54	791
PF01469_10_1	788	PPE54	749
PF01469_10_2	335	PPE54	296
PF01469_10_3	1520	PPE54	1481
PF01469_10_4	2096	PPE54	2057
PF01469_10_5	221	PPE54	186
PF00934	95	PE_PGRS50	5
PF11222	78	Rv3346c	3
PF00823	162	PPE55	5
PF01469	1617	PPE55	1578
PF01469_1	2814	PPE55	2775
PF01469_2	1596	PPE55	1558
PF01469_3	2211	PPE55	2172
PF01469_4	1577	PPE55	1538
PF01469_5	1002	PPE55	963
PF01469_6	383	PPE55	344
PF01469_7	301	PPE55	262
PF01469_8	423	PPE55	384
PF01469_9	2774	PPE55	2735
PF01469_10	2734	PPE55	2695
PF01469_10_1	2089	PPE55	2050
PF01469_10_2	343	PPE55	304
PF01469_10_3	807	PPE55	773
PF01469_10_4	2131	PPE55	2092
PF01469_10_5	962	PPE55	923
PF01469_10_6	1537	PPE55	1498
PF01469_10_7	2692	PPE55	2653
PF01469_10_8	922	PPE55	883
PF01469_10_9	2171	PPE55	2132
PF01469_10_10	2645	PPE55	2606
PF01469_10_10_1	880	PPE55	841
PF01469_10_10_2	1627	PPE55	1588
PF01469_10_10_3	2017	PPE55	1982
PF01469_10_10_4	230	PPE55	195
PF01469_10_10_5	1423	PPE55	1382
PF01548	162	Rv3348	14
PF01610	142	Rv3349c	1
PF00823	162	PPE56	5
PF01469	384	PPE56	345
PF01469_1	2201	PPE56	2153
PF01469_2	2664	PPE56	2625
PF01469_3	966	PPE56	927
PF01469_4	2746	PPE56	2707
PF01469_5	3333	PPE56	3294
PF01469_6	1553	PPE56	1514
PF01469_7	3373	PPE56	3334
PF01469_8	3184	PPE56	3143
PF01469_9	2152	PPE56	2114
PF01469_10	1513	PPE56	1474
PF01469_10_1	1471	PPE56	1432
PF01469_10_2	424	PPE56	385
PF01469_10_3	2112	PPE56	2073
PF01469_10_4	884	PPE56	845
PF01469_10_5	2070	PPE56	2031
PF01469_10_6	2786	PPE56	2747
PF01469_10_7	926	PPE56	887
PF01469_10_8	2706	PPE56	2667
PF01469_10_9	1424	PPE56	1385
PF01469_10_10	3293	PPE56	3254
PF01469_10_10_1	1006	PPE56	967
PF01469_10_10_2	817	PPE56	777
PF01469_10_10_3	344	PPE56	305
PF01469_10_10_4	2617	PPE56	2581
PF01469_10_10_5	3204	PPE56	3165
PF01469_10_10_6	2591	PPE56	2555
PF01469_10_10_7	1398	PPE56	1362
PF01469_10_10_8	3251	PPE56	3212
PF01469_10_10_9	302	PPE56	263
PF08031	186	Rv3351c	149
PF01565	70	Rv3352c	1
PF05305	107	Rv3354	35
PF11222	90	Rv3355c	17
PF00763	120	folD	5
PF02882	281	folD	123
PF02604	72	relJ	1
PF06769	85	relK	6
PF00724	261	Rv3359	10
PF00498	89	Rv3360	23
PF13599	122	Rv3361c	47
PF03029	187	Rv3362c	18
PF05331	122	Rv3363c	8
PF03259	101	Rv3364c	10
PF00672	403	Rv3365c	338
PF02518	634	Rv3365c	520
PF00588	142	spoU	1
PF00934	94	PE_PGRS51	4
PF00881	191	Rv3368c	11
PF01243	99	Rv3369	13
PF02811	238	dnaE2	67
PF07733	601	dnaE2	356
PF14579	932	dnaE2	844
PF17657	770	dnaE2	604
PF03007	237	Rv3371	4
PF06974	405	Rv3371	270
PF02358	370	otsB2	145
PF00378	213	echA18	44
PF01425	456	amiD	38
PF00702	185	Rv3376	3
PF00432	57	Rv3377c	38
PF13243	466	Rv3377c	332
PF02779	376	dxs2	210
PF02780	509	dxs2	391
PF13292	133	dxs2	1
PF13292_1	176	dxs2	129
PF00665	206	Rv3380c	102
PF13276	79	Rv3380c	20
PF01527	90	Rv3381c	4
PF02401	301	lytB1	20
PF00348	305	idsB	58
PF01850	121	vapC46	4
PF02604	88	vapB46	12
PF05598	128	Rv3386	52
PF01609	217	Rv3387	43
PF00934	94	PE_PGRS52	4
PF00300	231	lpqD	37
PF00106	548	acrA1	353
PF07993	219	acrA1	5
PF02353	283	cmaA1	3
PF01156	295	iunH	2
PF00817	152	Rv3394c	14
PF00117	199	guaA	18
PF00958	524	guaA	432
PF02540	307	guaA	209
PF00494	270	phyA	15
PF00348	309	idsA1	61
PF04072	244	Rv3399	61
PF00702	227	Rv3400	23
PF03632	694	Rv3401	327
PF03633	750	Rv3401	698
PF03636	271	Rv3401	15
PF01041	405	Rv3402c	47
PF13454	206	Rv3403c	19
PF00551	153	Rv3404c	42
PF18216	228	Rv3404c	177
PF00440	69	Rv3405c	23
PF02668	269	Rv3406	6
PF02604	81	vapB47	8
PF01850	127	vapC47	2
PF05199	525	choD	373
PF13450	44	choD	9
PF00478	310	guaB3	13
PF00478	515	guaB2	44
PF00571	180	guaB2	116
PF00571_1	242	guaB2	185
PF17252	125	Rv3412	5
PF16751	58	Rv3413c	13
PF04542	120	sigD	47
PF08281	201	sigD	149
PF02467	87	whiB3	17
PF00118	525	groEL1	22
PF00166	98	groES	5
PF00814	313	gcp	28
PF00583	130	rimI	17
PF00814	185	Rv3421c	32
PF02367	160	Rv3422c	24
PF00842	380	alr	252
PF01168	240	alr	18
PF00823	160	PPE57	4
PF00823	169	PPE58	4
PF01695	248	Rv3427c	10
PF00665	158	Rv3428c	44
PF00823	160	PPE59	4
PF00665	237	Rv3430c	135
PF00872	281	Rv3431c	1
PF00282	381	gadB	32
PF01256	464	Rv3433c	233
PF03853	183	Rv3433c	23
PF14494	275	Rv3435c	23
PF01380	429	glmS	300
PF01380_1	607	glmS	472
PF13522	200	glmS	54
PF10708	158	Rv3437	129
PF07690	280	Rv2456c	16
PF07690_1	416	Rv2456c	250
PF06689	48	clpX	11
PF07724	311	clpX	112
PF10431	400	clpX	317
PF02574	295	mmuM	9
PF07690	405	Rv2459	12
PF00574	207	clpP2	24
PF00574	193	clpP1	11
PF00254	240	tig	156
PF05697	145	tig	1
PF05698	419	tig	258
PF00144	384	lipP	18
PF01149	111	Rv2464c	1
PF06827	268	Rv2464c	240
PF06831	217	Rv2464c	126
PF02502	145	rpiB	6
PF01323	167	Rv2466c	10
PF01433	444	pepN	230
PF11838	850	pepN	531
PF17900	189	pepN	22
PF17174	161	Rv2468c	26
PF14279	188	Rv2469c	138
PF01152	122	glbO	4
PF00128	403	aglA	54
PF13279	136	Rv2475c	11
PF05088	1613	gdh	92
PF12848	306	Rv2477c	227
PF00005	188	Rv2477c	21
PF00005_1	471	Rv2477c	337
PF00436	99	Rv2478c	1
PF00665	206	Rv2479c	102
PF13276	79	Rv2479c	20
PF01527	90	Rv2480c	4
PF01553	394	plsB2	253
PF01553	439	plsC	312
PF12710	224	plsC	40
PF03007	282	Rv2484c	5
PF06974	461	Rv2484c	320
PF07859	381	lipQ	171
PF00378	243	echA14	10
PF00934	94	PE_PGRS42	4
PF00931	456	Rv2488c	245
PF00934	94	PE_PGRS43	4
PF18306	177	Rv2491	26
PF01850	128	vapC38	2
PF00198	391	bkdC	163
PF00364	81	bkdC	8
PF02817	154	bkdC	118
PF02779	201	bkdB	24
PF02780	337	bkdB	215
PF00676	339	bkdA	48
PF03328	211	citE	9
PF01575	161	Rv2499c	36
PF00441	392	fadE19	243
PF02770	231	fadE19	130
PF02771	126	fadE19	14
PF00289	110	accA1	1
PF00364	652	accA1	586
PF02785	445	accA1	338
PF02786	326	accA1	115
PF01039	524	accD1	41
PF01144	205	scoB	8
PF01144	234	scoA	5
PF00501	445	fadD35	32
PF13193	529	fadD35	453
PF00440	76	Rv2506	30
PF17932	181	Rv2506	95
PF05423	270	Rv2507	169
PF11700	437	Rv2508c	141
PF00106	202	Rv2509	10
PF05872	532	Rv2510c	34
PF00929	170	orn	6
PF00872	380	Rv2512c	1
PF14367	153	Rv2514c	3
PF01381	83	Rv2515c	29
PF06114	325	Rv2515c	189
PF03734	377	ldtB	252
PF17964	250	ldtB	70
PF00934	94	PE26	4
PF12277	49	Rv2520c	3
PF00578	138	bcp	9
PF01546	459	Rv2522c	102
PF07687	361	Rv2522c	210
PF01648	125	acpS	5
PF00109	2808	fas	2557
PF00698	1549	fas	1333
PF01575	1321	fas	1197
PF02801	2942	fas	2816
PF08354	898	fas	561
PF16073	268	fas	36
PF18094	1037	fas	935
PF08924	231	Rv2525c	52
PF09957	51	vapB17	4
PF01850	120	vapC17	5
PF04471	280	mrr	160
PF14338	92	mrr	7
PF02732	400	Rv2529	277
PF01850	132	vapC39	3
PF01276	526	adi	290
PF01276_1	750	adi	547
PF01029	140	nusB	11
PF01132	121	efp	68
PF08207	60	efp	3
PF09285	184	efp	129
PF00557	345	pepQ	141
PF01321	134	pepQ	6
PF01220	142	aroD	5
PF01761	326	aroB	68
PF01202	167	aroK	11
PF01264	367	aroF	2
PF06259	349	Rv2542	169
PF16708	195	lppA	39
PF16708	195	lppB	39
PF09957	92	vapB18	56
PF01850	123	vapC18	3
PF01402	40	vapB19	2
PF01850	119	vapC19	2
PF01850	126	vapC20	2
PF01402	41	vapB20	3
PF01478	109	Rv2551c	4
PF08501	92	aroE	10
PF18317	265	aroE	236
PF02618	406	Rv2553c	86
PF03652	156	Rv2554c	22
PF01411	576	alaS	5
PF02272	897	alaS	753
PF07973	717	alaS	673
PF01894	130	Rv2556c	17
PF00004	178	Rv2559c	68
PF12002	444	Rv2559c	278
PF16193	277	Rv2559c	200
PF00027	314	glnQ	228
PF00005	172	glnQ	23
PF00027	126	Rv2565	42
PF01734	469	Rv2565	309
PF01841	284	Rv2566	165
PF08379	111	Rv2566	32
PF09899	1133	Rv2566	314
PF04168	863	Rv2567	538
PF14403	488	Rv2567	115
PF10005	83	Rv2568c	3
PF15887	324	Rv2568c	86
PF01841	260	Rv2569c	144
PF08379	96	Rv2569c	17
PF13515	163	Rv2571c	32
PF00152	561	aspS	119
PF01336	104	aspS	19
PF02938	398	aspS	308
PF02558	149	Rv2573	5
PF08546	291	Rv2573	169
PF10604	158	Rv2574	17
PF04228	287	Rv2575	4
PF00149	389	Rv2577	196
PF16656	158	Rv2577	65
PF04055	246	Rv2578c	66
PF00561	160	dhaA	31
PF03129	420	hisS	330
PF13393	312	hisS	12
PF00753	203	Rv2581c	8
PF00160	306	ppiB	142
PF02824	459	relA	400
PF04607	352	relA	241
PF13291	733	relA	655
PF13328	182	relA	34
PF00156	200	apt	66
PF00496	466	Rv2585c	93
PF02355	355	secF	160
PF07549	102	secF	80
PF02355	543	secD	358
PF07549	58	secD	37
PF02699	82	yajC	5
PF00202	446	gabT	30
PF00501	508	fadD9	65
PF00550	716	fadD9	649
PF07993	1035	fadD9	773
PF00934	94	PE_PGRS44	4
PF05491	330	ruvB	259
PF05496	182	ruvB	24
PF17864	258	ruvB	185
PF01330	61	ruvA	1
PF07499	193	ruvA	146
PF14520	129	ruvA	71
PF02075	152	ruvC	3
PF04014	47	vapB40	8
PF01850	125	vapC40	2
PF13785	193	Rv2597	54
PF10936	162	Rv2598	3
PF14042	135	Rv2599	18
PF03994	80	Rv2600	26
PF03994_1	151	Rv2600	97
PF01564	467	speE	287
PF01850	139	vapC41	2
PF01709	238	Rv2603c	5
PF01174	196	snoP	8
PF02551	269	tesB2	139
PF01680	217	snzP	11
PF01243	134	pdxH	49
PF10590	224	pdxH	188
PF00823	162	PPE42	5
PF08237	525	PPE42	300
PF00293	320	Rv2609c	176
PF13439	174	pimA	14
PF13692	333	pimA	188
PF03279	303	Rv2611c	10
PF01230	161	Rv2613c	65
PF00587	570	thrS	356
PF03129	672	thrS	582
PF07973	245	thrS	180
PF00934	93	PE_PGRS45	4
PF09348	165	Rv2616	12
PF07681	111	Rv2617c	22
PF12840	67	Rv2621c	6
PF08241	154	Rv2622	59
PF00582	293	TB31.7	160
PF00582_1	148	TB31.7	9
PF00582	140	Rv2624c	8
PF00571	369	Rv2625c	311
PF02163	201	Rv2625c	124
PF00571	125	hrp1	70
PF00571_1	57	hrp1	4
PF18844	266	Rv2629	118
PF01951	179	Rv2630	47
PF01139	432	Rv2631	2
PF08962	89	Rv2632c	9
PF01814	116	Rv2633c	2
PF00934	94	PE_PGRS46	4
PF07931	208	Rv2636	23
PF09335	163	dedA	32
PF01740	137	Rv2638	31
PF02694	109	Rv2639c	2
PF01022	90	Rv2640c	41
PF00903	114	cadI	3
PF01022	89	Rv2642	40
PF01451	488	arsC	367
PF01758	259	arsC	62
PF00589	322	Rv2646	177
PF01527	90	Rv2648	4
PF00665	206	Rv2649	102
PF13276	79	Rv2649	20
PF05065	475	Rv2650c	196
PF04586	166	Rv2651c	4
PF05119	192	Rv2652c	96
PF12307	375	Rv2655c	195
PF10888	130	Rv2656c	34
PF12728	77	Rv2657c	32
PF00589	357	Rv2659c	180
PF14659	130	Rv2659c	76
PF00872	266	Rv2666	1
PF02861	232	clpC2	183
PF02861_1	159	clpC2	110
PF00583	131	Rv2669	12
PF03969	368	Rv2670c	33
PF01872	252	ribD	39
PF08386	526	Rv2672	424
PF09594	329	aftC	94
PF01641	133	msrB	12
PF13649	149	Rv2675c	54
PF06778	221	Rv2676c	32
PF01593	443	hemY	13
PF01208	357	hemE	7
PF00378	269	echA15	20
PF11452	202	Rv2680	22
PF00570	315	Rv2681	248
PF01612	202	Rv2681	34
PF18305	424	Rv2681	333
PF02779	478	dxs1	312
PF02780	612	dxs1	494
PF13292	278	dxs1	2
PF00571	164	Rv2683	106
PF03600	367	arsA	13
PF03600	367	arsB1	13
PF00005	175	Rv2688c	35
PF01938	61	Rv2689c	11
PF05958	404	Rv2689c	325
PF13520	480	Rv2690c	36
PF02080	214	ceoB	147
PF02254	119	ceoB	3
PF02080	217	ceoC	149
PF02254	119	ceoC	3
PF11361	201	Rv2693c	15
PF12697	219	Rv2695	3
PF12502	221	Rv2696c	52
PF00692	149	dut	14
PF11292	159	Rv2698	12
PF13834	99	Rv2699c	1
PF13399	179	Rv2700	90
PF00459	284	suhB	7
PF00480	186	ppgK	20
PF00140	259	sigA	226
PF04539	451	sigA	374
PF04542	365	sigA	295
PF04545	516	sigA	463
PF01042	121	Rv2704	10
PF06108	104	Rv2705c	13
PF03631	284	Rv2707	25
PF11238	79	Rv2708c	23
PF11298	105	Rv2709	33
PF00140	58	sigB	25
PF04539	246	sigB	169
PF04542	160	sigB	90
PF04545	311	sigB	258
PF01325	62	ideR	3
PF02742	134	ideR	65
PF18357	229	ideR	150
PF13830	321	Rv2712c	13
PF00070	256	sthA	177
PF02852	453	sthA	344
PF12831	147	sthA	5
PF09754	261	Rv2714	43
PF12697	288	Rv2715	40
PF02567	134	Rv2716	8
PF02567_1	206	Rv2716	113
PF08768	162	Rv2717c	8
PF03477	134	nrdR	46
PF01726	88	lexA	24
PF00717	230	lexA	118
PF08310	291	Rv2721c	240
PF08310_1	350	Rv2721c	294
PF08310_2	168	Rv2721c	112
PF08310_3	109	Rv2721c	59
PF03741	277	Rv2723	69
PF00441	385	fadE20	236
PF02770	224	fadE20	129
PF02771	125	fadE20	13
PF01926	395	hflX	272
PF13167	177	hflX	89
PF16360	265	hflX	179
PF01678	142	dapF	3
PF01678_1	275	dapF	157
PF01715	287	miaA	40
PF03993	290	Rv2731	217
PF03993_1	366	Rv2731	294
PF03993_2	213	Rv2731	139
PF00919	158	Rv2733c	59
PF04055	383	Rv2733c	205
PF07505	243	Rv2734	4
PF02631	169	recX	39
PF00154	259	recA	9
PF14528	555	recA	460
PF14890	691	recA	263
PF11575	57	Rv2737A	37
PF11248	66	Rv2738c	5
PF04101	378	Rv2739c	281
PF07858	135	ephG	15
PF00934	94	PE_PGRS47	4
PF11248	269	Rv2742c	223
PF04012	243	35kd_ag	3
PF01381	67	clgR	13
PF00583	127	argA	21
PF01580	650	ftsK	449
PF09397	814	ftsK	752
PF13491	244	ftsK	120
PF17854	442	ftsK	344
PF03992	75	Rv2749	2
PF13561	269	Rv2750	15
PF04072	195	Rv2751	10
PF07521	431	Rv2752c	360
PF12706	207	Rv2752c	39
PF17770	558	Rv2752c	461
PF00701	296	dapA	11
PF02511	225	thyX	26
PF02384	503	hsdM	176
PF12161	164	hsdM	18
PF01850	124	vapC21	5
PF09957	60	vapB21	15
PF01850	126	vapC42	1
PF07704	88	vapB42	1
PF01420	163	hsdS	4
PF00186	160	dfrA	3
PF00303	263	thyA	2
PF01738	244	Rv2765	15
PF13561	245	fabG5	15
PF00823	162	PPE43	5
PF12484	391	PPE43	311
PF00934	95	PE27	4
PF12484	273	PE27	193
PF00823	162	PPE44	5
PF12484	379	PPE44	300
PF01113	105	dapB	1
PF05173	242	dapB	108
PF13508	124	Rv2775	40
PF00111	301	Rv2776c	231
PF00175	203	Rv2776c	112
PF00970	103	Rv2776c	6
PF10118	337	Rv2777c	78
PF10604	154	Rv2778c	7
PF01037	172	Rv2779c	98
PF13412	79	Rv2779c	32
PF01262	353	ald	141
PF05222	137	ald	4
PF03060	340	Rv2781c	4
PF00675	173	pepR	25
PF05193	357	pepR	179
PF00013	656	gpsI	597
PF00575	734	gpsI	662
PF01138	487	gpsI	354
PF01138_1	156	gpsI	23
PF03726	351	gpsI	273
PF00312	88	rpsO	8
PF01687	328	ribF	195
PF06574	177	ribF	17
PF01656	545	Rv2787	322
PF01325	69	sirR	9
PF02742	141	sirR	72
PF04023	228	sirR	152
PF00441	403	fadE21	253
PF02770	241	fadE21	140
PF02771	136	fadE21	5
PF00108	234	ltp1	10
PF02803	395	ltp1	260
PF01385	323	Rv2791c	200
PF07282	408	Rv2791c	341
PF12323	58	Rv2791c	11
PF00239	192	Rv2792c	52
PF01509	179	truB	27
PF09142	291	truB	236
PF16198	237	truB	180
PF01648	197	pptT	110
PF17837	103	pptT	36
PF00149	250	Rv2795c	15
PF16708	177	lppV	28
PF06259	466	Rv2797c	277
PF02129	310	Rv2800	49
PF08530	544	Rv2800	336
PF02452	114	mazF9	3
PF01402	38	mazE9	2
PF10056	343	Rv2802c	257
PF08681	151	Rv2803	72
PF01610	119	Rv2810c	35
PF00665	256	Rv2812	158
PF09299	392	Rv2812	339
PF13518	87	Rv2812	38
PF13401	173	Rv2813	42
PF00665	206	Rv2814c	102
PF13276	79	Rv2814c	20
PF01527	90	Rv2815c	4
PF09827	94	Rv2816c	26
PF01867	285	Rv2817c	4
PF09659	407	Rv2818c	62
PF03787	310	Rv2819c	11
PF17953	297	Rv2820c	208
PF03787	208	Rv2821c	13
PF03750	122	Rv2822c	4
PF18211	373	Rv2823c	280
PF10040	299	Rv2824c	184
PF08819	209	Rv2825c	38
PF08843	289	Rv2826c	34
PF09407	237	Rv2827c	81
PF13338	73	Rv2827c	9
PF08819	175	Rv2828c	4
PF10041	84	Rv2828A	1
PF01850	123	vapC22	4
PF02604	63	vapB22	1
PF00378	235	echA16	9
PF17912	278	ugpC	237
PF00005	164	ugpC	21
PF01547	337	ugpB	43
PF00528	270	ugpE	84
PF00528	303	ugpA	63
PF01554	179	dinF	19
PF01554_1	398	dinF	238
PF01368	178	Rv2837c	35
PF02272	335	Rv2837c	199
PF02033	113	rbfA	6
PF00009	565	infB	397
PF04760	55	infB	3
PF04760_1	363	infB	314
PF11987	791	infB	687
PF04296	83	Rv2840c	2
PF08529	63	nusA	5
PF08529_1	101	nusA	59
PF13184	282	nusA	214
PF02576	89	Rv2842c	14
PF17384	157	Rv2842c	92
PF14530	162	Rv2844	25
PF00587	471	proS	96
PF03129	577	proS	487
PF04073	391	proS	259
PF07690	451	efpA	58
PF00590	374	cysG	161
PF13241	114	cysG	8
PF01656	197	cobB	6
PF07685	440	cobB	255
PF02572	207	cobO	21
PF07728	166	Rv2850c	30
PF13519	559	Rv2850c	452
PF17863	302	Rv2850c	230
PF13673	148	Rv2851c	10
PF06039	490	mqo	5
PF00934	94	PE_PGRS48	4
PF12146	268	Rv2854	48
PF00070	252	mtr	174
PF02852	455	mtr	345
PF03824	354	nicT	63
PF13561	251	Rv2857c	14
PF00171	447	aldC	1
PF07722	279	Rv2859c	66
PF00120	452	glnA4	121
PF00557	276	mapB	48
PF08044	63	Rv2862c	11
PF01850	124	vapC23	2
PF00905	595	Rv2864c	325
PF05223	139	Rv2864c	31
PF02604	74	relF	1
PF05016	85	relG	5
PF08445	281	Rv2867c	207
PF13312	156	Rv2867c	54
PF04551	364	gcpE	21
PF02163	375	rip	9
PF17820	201	rip	155
PF02670	135	dxr	15
PF08436	230	dxr	147
PF13288	381	dxr	262
PF01402	39	vapB43	2
PF01850	135	vapC43	2
PF02469	217	mpt83	94
PF00578	523	dipZ	398
PF02683	340	dipZ	121
PF17991	695	dipZ	568
PF02469	191	mpt70	68
PF10939	85	Rv2876	18
PF02683	221	merT	9
PF00578	158	mpt53	37
PF01148	327	cdsA	57
PF01765	183	frr	20
PF00696	239	pyrH	31
PF00486	233	Rv2884	159
PF01385	324	Rv2885c	201
PF07282	409	Rv2885c	343
PF12323	59	Rv2885c	12
PF00239	292	Rv2886c	152
PF01047	91	Rv2887	33
PF01425	451	amiC	33
PF00889	270	tsf	67
PF00318	224	rpsB	9
PF01551	163	Rv2891	64
PF00823	162	PPE45	5
PF12484	404	PPE45	325
PF00296	298	Rv2893	18
PF00589	285	xerC	108
PF02899	87	xerC	5
PF04954	262	viuB	134
PF08021	128	viuB	10
PF02481	288	Rv2896c	67
PF17782	368	Rv2896c	306
PF01078	396	Rv2897c	190
PF13335	497	Rv2897c	401
PF13541	143	Rv2897c	21
PF02021	108	Rv2898c	16
PF02634	276	fdhD	26
PF00384	578	fdhF	132
PF01568	772	fdhF	660
PF10611	100	Rv2901c	1
PF01351	215	rnhB	36
PF10502	277	lepB	65
PF01245	112	rplS	2
PF01746	224	trmD	21
PF01782	93	rimM	4
PF05239	173	rimM	100
PF13083	76	Rv2908c	6
PF00886	67	rpsP	9
PF13577	138	Rv2910c	13
PF00768	259	dacB2	34
PF00440	62	Rv2912c	16
PF07969	238	Rv2913c	60
PF00069	217	pknI	12
PF01979	344	Rv2915c	54
PF00448	302	ffh	100
PF02881	82	ffh	5
PF02978	431	ffh	333
PF04851	194	Rv2917	38
PF01966	550	glnD	430
PF08335	291	glnD	165
PF00543	105	glnB	4
PF00909	441	amt	16
PF00448	422	ftsY	223
PF02881	202	ftsY	137
PF02463	1186	smc	2
PF06470	629	smc	512
PF00708	92	acyP	8
PF02566	131	Rv2923c	29
PF01149	124	fpg	1
PF06827	286	fpg	257
PF06831	234	fpg	144
PF00035	227	rnc	162
PF14622	149	rnc	17
PF02620	196	Rv2926c	84
PF00975	254	tesA	29
PF00501	470	fadD26	12
PF00109	351	ppsA	101
PF00550	1832	ppsA	1766
PF00550_1	79	ppsA	13
PF00698	951	ppsA	632
PF02801	477	ppsA	359
PF08659	1684	ppsA	1491
PF14765	1264	ppsA	992
PF16197	592	ppsA	480
PF00109	283	ppsB	33
PF00550	1494	ppsB	1427
PF00698	884	ppsB	561
PF02801	406	ppsB	291
PF08659	1328	ppsB	1152
PF16197	521	ppsB	409
PF00109	288	ppsC	34
PF00550	2141	ppsC	2074
PF00698	891	ppsC	572
PF02801	413	ppsC	296
PF08240	1550	ppsC	1484
PF08659	1980	ppsC	1802
PF13602	1778	ppsC	1639
PF14765	1223	ppsC	928
PF16197	531	ppsC	419
PF00109	285	ppsD	35
PF00550	1781	ppsD	1710
PF00698	880	ppsD	566
PF02801	412	ppsD	293
PF08659	1616	ppsD	1439
PF14765	1198	ppsD	910
PF16197	527	ppsD	415
PF00109	262	ppsE	5
PF00550	1000	ppsE	937
